MBID,PdName,Brand,Chipset,Series,Factor,Rslots,Maxfreq,Pslots,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI,Vports,Dvi,HDMI,DP,Dsub,Mslots,M2_1Sata,M2_2Sata,M2_3Sata,M2_1PCIE,M2_2PCIE,M2_3PCIE,M2_1PCIE2,Sata6G,U2,Uports_B,Uports_O,Uports,USB2,USB31G1,USB31G2,TypeC_G1,TypeC_G2,USB_MB2,USB_MB3g1,USB_MB3g2,TypeC_MBG1,TypeC_MBG2,RJ45,Ethernet_Lan1,Ethernet_Lan2,Ethernet_Lan3,Function,WiFi,M2_Ekey,Bluetooth,AudioOpt,TRS,SPDIF,SPDIF_MB,DAC,Achipset,Fslots,CPU_Opt,Sys_Fan,3ASys_Fan,AIO_Pump,W_Pump,M2_Fan,Lheads,RGB_Header,RGBW_Header,Digital_LED,5050JRGB_12V,5050JRGB_5V,WS2812B_RGB,CORSAIR_RGB,LED_header,Cslots,COMPort ,LPTPort ,COMPort_MB,LPTPort_MB,PS2,Sheads,Thunderbolt,Altive_Headers,Heat_Sensers,Raid,M2_Raid,IRST,ISRT,Optane
49,H370M D3H,Gigabyte,H370,Ultra Durable,mATX,4,2666,3,1,,1,,1,,,3,1,1,,1,2,1,,,2,4,,,6,,9,3,12,2,4,2,,1,2,1,,,,1,Intel GbE,,,1,,1,,6,,,1,,Realtek ALC892,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
50,H370N Wi-Fi,Gigabyte,H370,Ultra Durable,Mini ITX ,2,2666,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,6,2,8,,5,,1,,1,1,,,,2,Intel GbE,Intel GbE,,2,Intel 802.11a/b/g/n/ac,,5,3,,,1,,Realtek ALC1220-VB,2,,2,,,,,2,,1,1,,,,,,,,,,,,,,,,1,,,,1
51,H370 Aorus Gaming 3 Wi-Fi,Gigabyte,H370,Aorus Gaming ,ATX,4,2666,6,1,,1,,4,,,2,1,1,,,2,,1,,4,2,,,6,,8,5,13,4,2,1,,1,2,2,,1,,1,Intel GbE,,,3,Intel 802.11a/b/g/n/ac,1,5,6,,,1,,Realtek ALC1220-VB,4,,2,,1,1,,4,,2,2,,,,,,1,,,1,,1,1,1,,,1,,,,1
52,Z370 Aorus Gaming 7-OP,Gigabyte,Z370,Aorus Gaming,ATX,4,4133,6,1,1,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,8,4,12,,5,2,,1,2,1,,,1,2,Intel GbE,Killer E2500,,,,,,5,,1,1,ES9018Q2C,Realtek ALC1220,7,,4,1,1,1,,4,,2,2,,,,,,,,,,,1,3,1,,2,1,,,,1
53,Z370 Aorus Gaming 7,Gigabyte,Z370,Aorus Gaming,ATX,4,4133,6,1,1,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,8,5,13,,5,2,,1,2,1,1,,1,2,Intel GbE,Killer E2500,,,,,,5,,1,1,ES9018Q2C,Realtek ALC1220,7,,4,1,1,1,,2,,,2,,,,,,,,,,,1,3,1,,2,1,,,,1
54,Z370 Aorus Gaming 5,Gigabyte,Z370,Aorus Gaming,ATX,4,4133,6,1,1,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,1,,1,,1,Intel GbE,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,1,,Realtek ALC1220,7,,4,1,1,1,,4,,2,2,,,,,,,,,,,1,3,1,,2,1,,,,1
55,Z370 Aorus Gaming 3,Gigabyte,Z370,Aorus Gaming,ATX,4,4000,6,1,,1,,4,,,1,,1,,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,1,,1,,1,Killer E2500 ,,,,,,,6,,,1,,Realtek ALC1220,4,,2,,1,1,,4,,2,2,,,,,,,,,,,1,1,1,,,1,,,,1
56,Z370 Aorus Gaming K3,Gigabyte,Z370,Aorus Gaming,ATX,4,4000,6,1,,1,,4,,,2,1,1,,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,2,,,,1,Intel GbE,,,,,,,6,,,1,,Realtek ALC1220,4,,2,,1,1,,4,,2,2,,,,,,,,,,,1,1,1,,,1,,,,1
57,Z370XP SLI,Gigabyte,Z370,Ultra Durable,ATX,4,4000,6,1,1,1,,3,,,1,,1,,,2,1,,,4,4,,,6,,9,4,13,,6,2,,1,2,2,,,,1,Intel GbE,,,,,,,6,,,1,,Realtek ALC1220,4,,2,,1,1,,1,1,,,,,,,,2,,,1,1,2,1,1,,,1,,,,1
58,Z370 HD3P,Gigabyte,Z370,Ultra Durable,ATX,4,4000,7,1,,1,,4,,1,3,1,1,,1,2,1,,,4,4,,,6,,9,5,14,2,4,2,,1,2,2,,1,,1,Intel GbE,,,,,,,6,,,1,,Realtek ALC1220,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
59,Z370 HD3,Gigabyte,Z370,Ultra Durable,ATX,4,4000,6,1,,2,,3,,,2,1,1,,,1,1,,,4,,,,6,,6,4,10,2,4,,,,2,2,,,,1,Intel GbE,,,,,,,6,,,1,,Realtek ALC892,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
60,Z370P D3,Gigabyte,Z370,Ultra Durable,ATX,4,4000,6,1,,2,,3,,,1,,1,,,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,Intel GbE,,,,,,,3,,,1,,Realtek ALC887,3,,3,,,,,1,1,,,,,,,,1,,,1,,2,,,,,1,,,,1
61,Z370M DS3H ,Gigabyte,Z370,Ultra Durable,mATX,4,3866,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,Intel GbE,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,,,,,,,,,,2,,,1,1,1,,,,,1,,,,1
62,Z370M D3H,Gigabyte,Z370,Ultra Durable,mATX,4,4000,4,1,,1,,2,,,2,1,1,,,2,1,,,4,4,,,6,,8,3,11,,7,,1,,2,1,,,,1,Intel GbE,,,,,,,6,,,1,,Realtek ALC892,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
63,Z370N Wi-Fi,Gigabyte,Z370,Ultra Durable,Mini ITX ,2,4400,1,1,,,,,,,3,,2,1,,2,1,,,4,4,,,4,,8,2,10,,7,,,1,1,1,,,,2,Intel GbE,Intel GbE,,2,Intel 802.11a/b/g/n/ac,,4.2,3,,,1,,Realtek ALC1220,2,,2,,,,,2,,1,1,,,,,,,,,,,,,,,,1,,,,1
64,Z370 Godlike Gaming,MSI,Z370,Enthusiast Gaming,Extended ATX ,4,4133,5,1,1,2,,1,,,,,,,,3,1,1,1,4,4,4,,6,1,9,6,15,,6,2,,1,3,2,1,,,3,Killer E2500,Killer E2500,Killer E2500,3,Killer 1535,1,4.1,5,1,1,,ESS ES9018,Dual Realtek ALC1220,9,,8,,1,,,2,,,,1,1,,,,,,,,,1,3,,,3,1,1,,,1
65,Z370 Gaming M5,MSI,Z370,Enthusiast Gaming,ATX,4,4000,6,1,1,1,,3,,,2,,1,1,,2,1,1,,4,4,,,6,,8,3,11,3,2,2,,1,2,1,,,,1,Killer E2500,,,,,,,5,,1,,,Realtek ALC1220,5,,4,,1,,,1,1,,,,,,,,,,,,,1,,,,,1,1,,,1
66,Z370 Gaming Pro Carbon AC,MSI,Z370,Performance Gaming,ATX,4,4000,6,1,1,1,,3,,,2,,1,1,,2,1,1,,4,4,,,6,,9,4,13,2,4,2,,1,2,2,,,,1,Intel I219-V ,,,2, Intel Wireless-AC 8265  ,,4.2,5,,1,,,Realtek ALC1220,5,,4,,1,,,3,,,,1,,1,1,,,,,,,1,,,,,1,1,,,1
